n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
569,1108,322.8676258,0.000671936,0.382331392,59.33333333,306,0.138026186,85.9302257,60000,4.77815125
440,606,329.8224542,0.000773269,0.340238489,48.33333333,308,0.159281513,83.54894766,60000,4.77815125
431,628,307.730251,0.000794249,0.342321532,56,354,0.180510523,78.1583766,60000,4.77815125
668,992,374.2499145,0.000653749,0.436704533,49,453,0.237914766,106.8811208,60000,4.77815125
743,1123,268.5794597,0.000548596,0.407606951,44.66666667,321,0.162460062,85.51136055,60000,4.77815125
454,794,358.0514113,0.000777325,0.352905345,57.66666667,359,0.192356048,96.01042844,70000,4.84509804
435,777,242.2452712,0.000674967,0.293610514,58.66666667,275,0.134757467,64.90353644,70000,4.84509804
486,799,263.0470179,0.000757197,0.367997918,55.33333333,336,0.175193036,70.46425094,70000,4.84509804
421,831,237.7853829,0.000765479,0.322266454,59.66666667,274,0.120020977,61.68741627,70000,4.84509804
786,1083,322.7270729,0.000585191,0.459959916,59.33333333,491,0.228743077,86.20267902,70000,4.84509804
296,416,392.7678089,0.000735434,0.217688452,53.66666667,223,0.121737035,100.5658618,70000,4.84509804
411,823,203.4542826,0.000698508,0.287086785,59.33333333,234,0.115231322,55.38391392,80000,4.903089987
341,613,232.8465354,0.000834547,0.284580598,55.66666667,232,0.113109652,59.6451398,80000,4.903089987
530,776,191.2583554,0.000707556,0.375004788,59.66666667,414,0.160782004,59.51332548,80000,4.903089987
627,864,227.8614186,0.000658828,0.413085158,59.33333333,554,0.195880857,71.03973596,80000,4.903089987
431,629,233.4434661,0.000728121,0.313820059,59.33333333,297,0.153603736,70.2207178,90000,4.954242509
494,994,288.527101,0.000786423,0.388493067,58,272,0.158823642,78.67024343,90000,4.954242509
637,751,228.2005954,0.000643298,0.409781108,59.33333333,458,0.189585929,72.76254263,90000,4.954242509
594,735,294.0709932,0.000695783,0.413295353,58.66666667,531,0.200695268,89.62634052,90000,4.954242509
320,345,104.0502085,0.000598519,0.191525935,25.66666667,274,0.117563407,53.57435276,100000,5
345,529,80.59286473,0.000548176,0.189120773,57.33333333,258,0.122879227,59.86408696,100000,5
266,294,50.83520703,0.000535746,0.14250837,28.66666667,257,0.106091838,37.75323694,100000,5
539,745,157.8510547,0.000540404,0.291277727,59.66666667,358,0.163223622,61.73608065,100000,5
718,1010,259.680665,0.000647289,0.464753587,54.66666667,506,0.241138774,73.78022269,100000,5
692,1112,228.2383434,0.00061566,0.426036531,55.66666667,567,0.224994131,67.87521247,100000,5
525,889,252.05724,0.000727994,0.382196897,58,506,0.230827428,64.55080923,200000,5.301029996
411,679,271.2995786,0.000748614,0.307680521,59.33333333,416,0.193037732,66.13767956,200000,5.301029996
636,1007,404.8229063,0.000684722,0.43548293,56.66666667,415,0.204415913,105.0139967,200000,5.301029996
575,1098,348.0296784,0.000828495,0.476384828,59.66666667,462,0.223049075,78.38507839,200000,5.301029996
391,688,249.9305256,0.000628462,0.245728619,58.66666667,267,0.138676541,58.94750597,300000,5.477121255
